State,Date,Total,Category
Arkansas,2021-10-10,104309748.19999999,Beverages
Arkansas,2021-10-17,101130187.6,Beverages
Arkansas,2021-10-24,98315875.9,Beverages
Arkansas,2021-10-31,96518729.50000001,Beverages
Arkansas,2021-11-04,68454422.6,Beverages
Arkansas,2021-11-07,76636654.19999999,Beverages
Arkansas,2021-11-14,99626518.50000001,Beverages
Arkansas,2021-11-21,100440189.2,Beverages
Arkansas,2021-11-28,95547889.20000002,Beverages
Arkansas,2021-12-09,76970528.8,Beverages
Arkansas,2021-12-12,96826619.39999999,Beverages
Arkansas,2021-12-19,99984093.69999999,Beverages
Arkansas,2021-12-26,99759952.19999999,Beverages
Arkansas,2022-01-05,103805093.89999999,Beverages
Arkansas,2022-01-16,98948579.5,Beverages
Arkansas,2022-01-23,92112220.2,Beverages
Arkansas,2022-01-30,94644193.20000002,Beverages
Arkansas,2022-02-01,93380356.69999999,Beverages
Arkansas,2022-02-10,112136003.5,Beverages
Arkansas,2022-02-13,97702065.6,Beverages
Arkansas,2022-02-20,90819494.30000001,Beverages
Arkansas,2022-02-27,99037114.9,Beverages
Arkansas,2022-03-04,103811547.80000001,Beverages
Arkansas,2022-03-07,119976405.5,Beverages
Arkansas,2022-03-13,102169602.4,Beverages
Arkansas,2022-03-20,102381503.10000001,Beverages
Arkansas,2022-03-27,99464637.10000001,Beverages
Arkansas,2022-04-09,118942575.29999998,Beverages
Arkansas,2022-04-12,99768471.79999998,Beverages
Arkansas,2022-04-17,104085975.5,Beverages
Arkansas,2022-04-24,100996169.10000001,Beverages
Arkansas,2022-05-06,109057663.60000001,Beverages
Arkansas,2022-05-15,110749148.4,Beverages
Arkansas,2022-05-22,110460401.70000002,Beverages
Arkansas,2022-05-29,109863858.89999999,Beverages
Arkansas,2022-06-02,96618080.90000002,Beverages
Arkansas,2022-06-03,103093646.0,Beverages
Arkansas,2022-06-11,104366456.9,Beverages
Arkansas,2022-06-19,117770997.19999999,Beverages
Arkansas,2022-06-26,114411031.9,Beverages
Arkansas,2022-07-08,116148959.30000001,Beverages
Arkansas,2022-07-17,114762338.9,Beverages
Arkansas,2022-07-24,114581651.4,Beverages
Arkansas,2022-07-31,114979801.60000001,Beverages
Arkansas,2022-08-05,105764202.7,Beverages
Arkansas,2022-08-14,118150218.69999999,Beverages
Arkansas,2022-08-21,112180743.0,Beverages
Arkansas,2022-08-28,113832343.8,Beverages
Arkansas,2022-09-01,94532466.60000001,Beverages
Arkansas,2022-09-10,112645109.0,Beverages
Arkansas,2022-09-18,113416519.2,Beverages
Arkansas,2022-09-25,110869551.89999999,Beverages
Arkansas,2022-10-04,105314661.19999999,Beverages
Arkansas,2022-10-07,117172559.00000001,Beverages
Arkansas,2022-10-16,109648626.3,Beverages
Arkansas,2022-10-23,105598574.80000001,Beverages
Arkansas,2022-10-30,102518257.5,Beverages
Arkansas,2022-11-09,116255197.7,Beverages
Arkansas,2022-11-12,102920615.79999998,Beverages
Arkansas,2022-11-13,104922414.3,Beverages
Arkansas,2022-11-20,104002356.5,Beverages
Arkansas,2022-11-27,103751416.3,Beverages
Arkansas,2022-12-06,110363535.0,Beverages
Arkansas,2022-12-18,104855819.60000001,Beverages
Arkansas,2022-12-25,110014384.19999999,Beverages
Arkansas,2023-01-01,96531611.8,Beverages
Arkansas,2023-01-15,101487861.5,Beverages
Arkansas,2023-01-22,96226247.7,Beverages
Arkansas,2023-01-29,98786791.39999999,Beverages
Arkansas,2023-02-04,109455464.5,Beverages
Arkansas,2023-02-19,100840048.19999999,Beverages
Arkansas,2023-02-26,102483062.80000001,Beverages
Arkansas,2023-03-19,111784587.4,Beverages
Arkansas,2023-03-26,102395451.1,Beverages
Arkansas,2023-04-16,111327537.5,Beverages
Arkansas,2023-04-23,110406153.0,Beverages
Arkansas,2023-04-30,111996706.0,Beverages
Arkansas,2023-05-02,100758299.10000001,Beverages
Arkansas,2023-05-03,111201473.7,Beverages
Arkansas,2023-07-05,116455073.00000001,Beverages
Arkansas,2023-08-01,99012693.50000001,Beverages
Arkansas,2023-09-04,112740581.30000001,Beverages
Arkansas,2023-12-02,103288441.0,Beverages
Arkansas,2023-12-03,116121675.89999999,Beverages
California,2019-01-12,444766890.59999996,Beverages
California,2019-03-11,492597099.4,Beverages
California,2019-06-10,506587724.1,Beverages
California,2019-08-12,449865324.40000004,Beverages
California,2019-10-11,497063951.7,Beverages
California,2019-10-13,504318965.7,Beverages
California,2019-10-20,491957816.8,Beverages
California,2019-10-27,505768871.6,Beverages
California,2019-11-17,486794358.5,Beverages
California,2019-11-24,477240954.9,Beverages
California,2019-12-15,461461505.5,Beverages
California,2019-12-22,491464690.1,Beverages
California,2019-12-29,446846318.6,Beverages
California,2020-01-03,488089629.5,Beverages
California,2020-01-11,517917262.5,Beverages
California,2020-01-19,439475031.59999996,Beverages
California,2020-01-26,450336277.4,Beverages
California,2020-02-02,467920812.5,Beverages
California,2020-02-08,571725103.4,Beverages
California,2020-02-16,446287373.4,Beverages
California,2020-02-23,454404243.0,Beverages
